job_key,company,title,location,region,track,score,visa,evidence,skills,job_url,canonical_url,application_id,source,search_query,date_posted,discovered_at,checked_at,status
afc1dd2f2ff718723b12487e,Cleveland Clinic,Research Data Scientist I - Cole Eye,"Cleveland, OH",美国,Healthcare AI,45,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：16/30；领域迁移：8/20；工具匹配：15/15；工作授权：JD 未明确；硬技能缺口：检测到 1 类未确认的核心研发要求,R | Python | SQL | SAS | Statistics | Machine learning,https://www.linkedin.com/jobs/view/4466141919,https://linkedin.com/jobs/view/4466141919,,JobSpy · linkedin,statistical scientist,2026-09-15,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
d20ad0d48d4af883e4c016cc,"King County, WA",Behavioral Health Social Research Scientist,"Seattle, WA, US",美国,Healthcare AI,45,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：最低要求约 2 年；核心专业：0/30；领域迁移：8/20；工具匹配：12/15；工作授权：JD 未明确,R | Python | SQL | SAS | Statistics,https://www.governmentjobs.com/careers/kingcounty/jobs/5462649/behavioral-health-social-research-scientist,https://governmentjobs.com/careers/kingcounty/jobs/5462649/behavioral-health-social-research-scientist,5462649,JobSpy · indeed,quantitative researcher,2026-09-04,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
767c2dfaa9af756a4aef09fc,PODS,Data Scientist III,"Clearwater, FL",美国,Technology,43,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：17/30；领域迁移：0/20；工具匹配：5/15；工作授权：JD 未明确,Python | SQL | Statistics | Causal inference | Model validation,https://www.linkedin.com/jobs/view/4466134056,https://linkedin.com/jobs/view/4466134056,,JobSpy · linkedin,statistical scientist,2026-09-14,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
ab555dd2ca39af852f332e7b,InMobi Advertising,Applied Scientist – User Intelligence.,"San Mateo, CA",美国,Healthcare AI,40,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：6/30；领域迁移：13/20；工具匹配：0/15；工作授权：JD 未明确,Machine learning,https://www.linkedin.com/jobs/view/4467286676,https://linkedin.com/jobs/view/4467286676,,JobSpy · linkedin,applied scientist causal inference,2026-09-14,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
5d7bac8769f24e462c345b82,Abridge,Research Scientist (Measurement and Evaluation),"New York, NY",美国,Pharma,39,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：10/30；领域迁移：8/20；工具匹配：0/15；工作授权：JD 未明确,Statistics | Biostatistics | Model validation,https://www.linkedin.com/jobs/view/4439770400,https://linkedin.com/jobs/view/4439770400,,JobSpy · linkedin,statistical scientist,,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
db316403aea892b8838a11ee,Boys Town,Research Scientist II (Statistician),"Omaha, NE",美国,Healthcare AI,39,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：10/30；领域迁移：8/20；工具匹配：0/15；工作授权：JD 未明确,Statistics,https://www.linkedin.com/jobs/view/4465599081,https://linkedin.com/jobs/view/4465599081,,JobSpy · linkedin,statistical scientist,,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
b65448d08b73c6d0dad600ad,New York City Department of Consumer and Worker Protection,Data Scientist,"Manhattan, NY",美国,Healthcare AI,38,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：10/30；领域迁移：0/20；工具匹配：7/15；工作授权：JD 未明确,R | SQL | SAS | Statistics,https://www.linkedin.com/jobs/view/4466869333,https://linkedin.com/jobs/view/4466869333,,JobSpy · linkedin,statistical scientist,,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
7e24046086fc68325e5cbb4c,Thermo Fisher Scientific,"Associate Research Scientist, Bioassay","Collegeville, PA, US",美国,Pharma,36,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：7/30；领域迁移：8/20；工具匹配：0/15；工作授权：JD 未明确,Clinical trials,https://jsv3.recruitics.com/redirect?rx_cid=3436&rx_jobId=R-01368034&rx_url=https%3A%2F%2Fjobs.thermofisher.com%2Fglobal%2Fen%2Fjob%2FR-01368034%2FAssociate-Research-Scientist-Bioassay%3Frx_a%3D0%26rx_c%3D%26rx_ch%3Djobp4p%26rx_group%3D123525%26rx_id%3D217dcf34-b144-11f1-9acd-ffcdcdfb2a85%26rx_job%3DR-01368034%26rx_medium%3Dcpc%26rx_r%3Dnone%26rx_source%3Dindeed%26rx_ts%3D20260916T140416Z%26rx_vp%3Dcpc%26utm_medium%3Dppc%26utm_source%3Drecruitics_indeedorganic,https://jsv3.recruitics.com/redirect?rx_cid=3436&rx_jobId=R-01368034&rx_url=https%3A%2F%2Fjobs.thermofisher.com%2Fglobal%2Fen%2Fjob%2FR-01368034%2FAssociate-Research-Scientist-Bioassay%3Frx_a%3D0%26rx_c%3D%26rx_ch%3Djobp4p%26rx_group%3D123525%26rx_id%3D217dcf34-b144-11f1-9acd-ffcdcdfb2a85%26rx_job%3DR-01368034%26rx_medium%3Dcpc%26rx_r%3Dnone%26rx_source%3Dindeed%26rx_ts%3D20260916T140416Z%26rx_vp%3Dcpc%26utm_medium%3Dppc%26utm_source%3Drecruitics_indeedorganic,,JobSpy · indeed,research scientist digital health,2026-09-15,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
9cfe406bd5482b5ba373e3e6,Amazon.com,"Applied Scientist, One MHS - Software, Controls, Science","Boston, MA, US",美国,Healthcare AI,35,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：16/30；领域迁移：8/20；工具匹配：5/15；工作授权：JD 未明确；硬技能缺口：检测到 1 类未确认的核心研发要求,Python | Statistics | Machine learning,https://www.amazon.jobs/jobs/10542919/applied-scientist-one-mhs--software-controls-science?cmpid=DA_INAD200785B,https://amazon.jobs/jobs/10542919/applied-scientist-one-mhs--software-controls-science?cmpid=DA_INAD200785B,10542919,JobSpy · indeed,algorithm validation scientist,2026-09-03,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
b3b6ad9611fe9bad346ae143,Houston Methodist,"Research Scientist - Safety, Quality & Well-being Institute","Houston, TX",美国,Pharma,35,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：0/30；领域迁移：14/20；工具匹配：0/15；工作授权：JD 未明确,,https://www.linkedin.com/jobs/view/4456521564,https://linkedin.com/jobs/view/4456521564,,JobSpy · linkedin,real world evidence scientist,,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
6a5b793dd972ac4a7fe19b3f,Amazon.com,"Applied Scientist, AGI/AI Security","New York, NY, US",美国,Healthcare AI,34,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：0/30；领域迁移：8/20；工具匹配：5/15；工作授权：JD 未明确,Python,https://www.amazon.jobs/jobs/10543178/applied-scientist-agiai-security?cmpid=DA_INAD200785B,https://amazon.jobs/jobs/10543178/applied-scientist-agiai-security?cmpid=DA_INAD200785B,10543178,JobSpy · indeed,applied scientist healthcare,2026-07-02,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
663db675295853269bf6f799,OpenAI,"Data Scientist, Inference Capacity Optimization","San Francisco, CA, US",美国,Technology,32,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：16/30；领域迁移：5/20；工具匹配：5/15；工作授权：JD 未明确；硬技能缺口：检测到 1 类未确认的核心研发要求,Python | SQL | Statistics | Machine learning,https://openai.com/careers/data-scientist-inference-capacity-optimization-san-francisco/,https://openai.com/careers/data-scientist-inference-capacity-optimization-san-francisco,,JobSpy · indeed,applied scientist causal inference,2026-09-15,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
c27283c9c34432ac4adacd8e,Georgia Tech,Research Scientist II (Temenoff Lab and Marcus Center),"Atlanta, GA, US",美国,Healthcare AI,29,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：0/30；领域迁移：8/20；工具匹配：0/15；工作授权：JD 未明确,Statistics,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=3000&JobOpeningId=303789&PostingSeq=1,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Action=U&FOCUS=Applicant&JobOpeningId=303789&Page=HRS_APP_JBPST_FL&PostingSeq=1&SiteId=3000,,JobSpy · indeed,research scientist neuroscience,2026-09-15,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
35d35884c887cf77caa62ea8,AfterQuery,Research Scientist - Frontier Evaluations,"San Francisco, CA",美国,Healthcare AI,27,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：13/30；领域迁移：8/20；工具匹配：0/15；工作授权：JD 未明确；硬技能缺口：检测到 1 类未确认的核心研发要求,Statistics | Experimentation | Machine learning,https://www.linkedin.com/jobs/view/4468214080,https://linkedin.com/jobs/view/4468214080,,JobSpy · linkedin,algorithm validation scientist,2026-09-15,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
26a6cd49e002464c80b29ec4,Amazon,"Applied Scientist, Fauna","New York, NY",美国,Healthcare AI,25,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：6/30；领域迁移：8/20；工具匹配：5/15；工作授权：JD 未明确；硬技能缺口：检测到 1 类未确认的核心研发要求,Python | Machine learning,https://www.linkedin.com/jobs/view/4467917150,https://linkedin.com/jobs/view/4467917150,,JobSpy · linkedin,algorithm validation scientist,,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
